,cluster_id,cluster_name,title,total_price,condition,details,num_images,target
319,0,panzer dragoon saga,   Panzer Dragoon II Zwei (Sega Saturn) NTSC-U/C ,65.3,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",3,0
320,0,panzer dragoon saga,   Panzer Dragoon II Zwei (Sega Saturn) ,37.65,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1,0
322,0,panzer dragoon saga,   Panzer Dragoon Sega Saturn Video Game ,42.99,  Very Good ,,5,0
324,0,panzer dragoon saga,"   Panzer Dragoon  (Sega Saturn, 1995) complete CIB ",44.99,  Good ,,3,0
326,0,panzer dragoon saga,"   Panzer Dragoon II Zwei (Sega Saturn,1996) *Classic Series*RARE* ",28.44,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2,0
327,0,panzer dragoon saga,   Panzer Dragoon (Sega Saturn) Complete ,63.95,  Like New ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1,0
330,0,panzer dragoon saga,"   Panzer Dragoon (Sega Saturn, 1995) disc only  ",17.98,Not Specified,,1,0
43,0,, +++ SONIC JAM 4 GAMES IN 1 Sega Saturn Game COMPLETE CIB +++  ,86.45,  Very Good ,"              Sonic Jam is a compilation of Sega's famous hedgehog's hits. The CD includes the full versions of Sonic the Hedgehog, Sonic the Hedgehog 2, Sonic the Hedgehog 3, and Sonic &amp; Knuckles -- along with a 3D museum full of artwork, videos, and other Sega memorabilia. <br><br>The original titles' platform gameplay remains intact, with plenty of running, jumping, and Super Sonic Spin-dashing against the evil Doctor Robotnik. Doctor Robotnik is the mad scientist who enjoys unleashing his mechanical creations on Sonic's Disney-esque island paradise. <br><br>New difficulty levels have been added; younger players can adopt an easy mode, while more experienced Sonic fans can go up against ultra-difficult renditions of the Sonic classics. Get ready for an attitude-packed trip down memory lane with Sonic Jam. ",3,1
78,0,, Sega Saturn Guardian Heroes Disc Only Very Rare  ,37.46,  Acceptable ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",2,1
108,0,, Sonic Jam - Sega Saturn - Excellent Condition  ,66.45,  Like New ,,1,1
146,0,, Sonic Jam - Sega Saturn Disk Only 31325 Sega Saturn  ,63.42,  Like New ,"              Sonic Jam is a compilation of Sega's famous hedgehog's hits. The CD includes the full versions of Sonic the Hedgehog, Sonic the Hedgehog 2, Sonic the Hedgehog 3, and Sonic &amp; Knuckles -- along with a 3D museum full of artwork, videos, and other Sega memorabilia. <br><br>The original titles' platform gameplay remains intact, with plenty of running, jumping, and Super Sonic Spin-dashing against the evil Doctor Robotnik. Doctor Robotnik is the mad scientist who enjoys unleashing his mechanical creations on Sonic's Disney-esque island paradise. <br><br>New difficulty levels have been added; younger players can adopt an easy mode, while more experienced Sonic fans can go up against ultra-difficult renditions of the Sonic classics. Get ready for an attitude-packed trip down memory lane with Sonic Jam. ",1,1
211,0,, +++ SONIC JAM 4 GAMES IN 1 Sega Saturn Game COMPLETE CIB +++  ,77.44,  Good ,"              Sonic Jam is a compilation of Sega's famous hedgehog's hits. The CD includes the full versions of Sonic the Hedgehog, Sonic the Hedgehog 2, Sonic the Hedgehog 3, and Sonic &amp; Knuckles -- along with a 3D museum full of artwork, videos, and other Sega memorabilia. <br><br>The original titles' platform gameplay remains intact, with plenty of running, jumping, and Super Sonic Spin-dashing against the evil Doctor Robotnik. Doctor Robotnik is the mad scientist who enjoys unleashing his mechanical creations on Sonic's Disney-esque island paradise. <br><br>New difficulty levels have been added; younger players can adopt an easy mode, while more experienced Sonic fans can go up against ultra-difficult renditions of the Sonic classics. Get ready for an attitude-packed trip down memory lane with Sonic Jam. ",4,1
227,0,, GUARDIAN HEROES SEGA SATURN *COMPLETE* EXCELLENT SHAPE* FREE US SHIPPING  ,81.45,  Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",3,1
